--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
------------------------------------
Sensor:       FXOS8700_A
Type:         Acceleration (m/s2)
Driver Ver:   1
Unique ID:    8701
Min Value:    -78.45
Max Value:    78.45
Resolution:   0.06
------------------------------------

x, y, z
>>> Place accelerometer on flat, stable surface!
>>> Type key when ready...
>>> Gathering data for 10 seconds...
0.1483550072, -0.5407779217, 10.3657073975
0.1674975902, -0.5790630579, 10.3226366043
0.1722832322, -0.5264210105, 10.3704929352
0.0909272581, -0.5359922647, 10.3274221420
0.1292124242, -0.5168496966, 10.2891378403
0.1244267747, -0.5455635786, 10.1790676117
0.1148554832, -0.5455635786, 10.2173528671
0.1004985496, -0.5599204898, 10.2412805557
0.1483550072, -0.5838487148, 10.2747802734
0.1339980662, -0.5599204898, 10.3417797089
0.1531406492, -0.5790630579, 10.3992071152
0.1483550072, -0.5551348329, 10.3800649643
0.1435693651, -0.5503492355, 10.3800649643
0.1244267747, -0.5599204898, 10.2604236603
0.1435693651, -0.5886343718, 10.1647109985
0.1244267747, -0.5694918036, 10.2460660934
0.1483550072, -0.5407779217, 10.2747802734
0.1387837082, -0.5503492355, 10.2556381226
0.0957129076, -0.5407779217, 10.2843513489
0.1196411327, -0.5886343718, 10.3417797089
0.2201396823, -0.5551348329, 10.2269239426
0.1244267747, -0.5694918036, 10.3322086334
0.1435693651, -0.5455635786, 10.2269239426
0.1387837082, -0.5551348329, 10.2508525848
0.1196411327, -0.5312066078, 10.2508525848
0.1244267747, -0.5407779217, 10.3034944534
0.1387837082, -0.5742774606, 10.3226366043
0.1052841991, -0.5599204898, 10.3417797089
0.1579262912, -0.5742774606, 10.3704929352
0.2057827413, -0.5599204898, 10.3417797089
0.1722832322, -0.5599204898, 10.3752794266
0.1339980662, -0.5551348329, 10.3417797089
0.1339980662, -0.5503492355, 10.2699947357
0.1435693651, -0.5312066078, 10.2556381226
0.1244267747, -0.5647061467, 10.2412805557
0.1339980662, -0.5551348329, 10.2652091980
0.1579262912, -0.5790630579, 10.2699947357
0.1339980662, -0.5455635786, 10.3417797089
0.1483550072, -0.5599204898, 10.3226366043
0.1244267747, -0.5503492355, 10.2747802734
0.1292124242, -0.5694918036, 10.2604236603
0.1292124242, -0.5790630579, 10.2173528671
